image_path,mask_path
datasets/satellitesegmentation/401242_sat.jpg,datasets/satellitesegmentation/401242_mask.png
datasets/satellitesegmentation/804816_sat.jpg,datasets/satellitesegmentation/804816_mask.png
datasets/satellitesegmentation/505418_sat.jpg,datasets/satellitesegmentation/505418_mask.png
datasets/satellitesegmentation/345264_sat.jpg,datasets/satellitesegmentation/345264_mask.png
datasets/satellitesegmentation/169287_sat.jpg,datasets/satellitesegmentation/169287_mask.png
datasets/satellitesegmentation/74497_sat.jpg,datasets/satellitesegmentation/74497_mask.png
datasets/satellitesegmentation/608864_sat.jpg,datasets/satellitesegmentation/608864_mask.png
datasets/satellitesegmentation/421728_sat.jpg,datasets/satellitesegmentation/421728_mask.png
datasets/satellitesegmentation/511525_sat.jpg,datasets/satellitesegmentation/511525_mask.png
datasets/satellitesegmentation/695415_sat.jpg,datasets/satellitesegmentation/695415_mask.png
datasets/satellitesegmentation/780544_sat.jpg,datasets/satellitesegmentation/780544_mask.png
datasets/satellitesegmentation/588289_sat.jpg,datasets/satellitesegmentation/588289_mask.png
datasets/satellitesegmentation/370251_sat.jpg,datasets/satellitesegmentation/370251_mask.png
datasets/satellitesegmentation/725472_sat.jpg,datasets/satellitesegmentation/725472_mask.png
datasets/satellitesegmentation/3602_sat.jpg,datasets/satellitesegmentation/3602_mask.png
datasets/satellitesegmentation/387186_sat.jpg,datasets/satellitesegmentation/387186_mask.png
datasets/satellitesegmentation/759355_sat.jpg,datasets/satellitesegmentation/759355_mask.png
datasets/satellitesegmentation/442085_sat.jpg,datasets/satellitesegmentation/442085_mask.png
datasets/satellitesegmentation/689951_sat.jpg,datasets/satellitesegmentation/689951_mask.png
datasets/satellitesegmentation/520111_sat.jpg,datasets/satellitesegmentation/520111_mask.png
datasets/satellitesegmentation/631714_sat.jpg,datasets/satellitesegmentation/631714_mask.png
datasets/satellitesegmentation/277124_sat.jpg,datasets/satellitesegmentation/277124_mask.png
datasets/satellitesegmentation/173306_sat.jpg,datasets/satellitesegmentation/173306_mask.png
datasets/satellitesegmentation/113184_sat.jpg,datasets/satellitesegmentation/113184_mask.png
datasets/satellitesegmentation/976537_sat.jpg,datasets/satellitesegmentation/976537_mask.png
datasets/satellitesegmentation/209636_sat.jpg,datasets/satellitesegmentation/209636_mask.png
datasets/satellitesegmentation/418920_sat.jpg,datasets/satellitesegmentation/418920_mask.png
datasets/satellitesegmentation/874631_sat.jpg,datasets/satellitesegmentation/874631_mask.png
datasets/satellitesegmentation/252066_sat.jpg,datasets/satellitesegmentation/252066_mask.png
datasets/satellitesegmentation/293186_sat.jpg,datasets/satellitesegmentation/293186_mask.png
datasets/satellitesegmentation/661812_sat.jpg,datasets/satellitesegmentation/661812_mask.png
datasets/satellitesegmentation/904853_sat.jpg,datasets/satellitesegmentation/904853_mask.png
datasets/satellitesegmentation/140509_sat.jpg,datasets/satellitesegmentation/140509_mask.png
datasets/satellitesegmentation/52192_sat.jpg,datasets/satellitesegmentation/52192_mask.png
datasets/satellitesegmentation/94034_sat.jpg,datasets/satellitesegmentation/94034_mask.png
